"Wavelength, µm","n"
1.77822,1.41696
1.78602,1.416955
1.79386,1.41695
1.80174,1.416944
1.80965,1.416939
1.81759,1.416934
1.82557,1.416929
1.83359,1.416924
1.84163,1.416919
1.84972,1.416914
1.85784,1.416909
1.866,1.416904
1.87419,1.4169
1.88241,1.416895
1.89068,1.41689
1.89898,1.416885
1.90731,1.416881
1.91569,1.416877
1.9241,1.416872
1.93254,1.416868
1.94103,1.416863
1.94955,1.416859
1.95811,1.416854
1.9667,1.41685
1.97534,1.416846
1.98401,1.416842
1.99272,1.416837
2.00146,1.416833
